,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
1589,여행가Jay [Jay world traveler], 8.58,🇲🇦#153 택시기사&호객꾼들과의 끝없는 기싸움.. | 해외에서 순진하게 다니면 100% 호갱 당하는 이유 | 모로코 페즈 [여행가Jay], 30680,2020. 7. 24, 730, 12,163,https://www.youtube.com/watch?v=tLI4oci1E7I,모로코여행 ,페즈 ,여행유튜버
1590,여행가Jay [Jay world traveler], 8.58,🇲🇦#152 새벽 4시 페즈의 미로골목에서 숙소를 찾아가다가..😨 | 악명 높은 모로코 페즈 입성기 [여행가Jay], 29207,2020. 7. 20, 791, 15,296,https://www.youtube.com/watch?v=rpPlk-QrMvA,모로코여행 ,페즈 ,여행유튜버
1591,여행가Jay [Jay world traveler], 8.58,🇲🇦#151 끝 보이지 않는 사막에서 하루 보내기 | 사하라 사막 브이로그 [여행가Jay], 29096,2020. 7. 16, 811, 11,224,https://www.youtube.com/watch?v=wW8TDobMAHw,모로코여행 ,사하라사막 ,여행유튜버
1592,여행가Jay [Jay world traveler], 8.58,🇲🇦#150 세계 최대규모의 사막을 직접 본 순간🏜 | 사하라 사막 입성기 | 나홀로 모로코 여행 [여행가Jay], 35255,2020. 7. 11, 914, 10,192,https://www.youtube.com/watch?v=dRvMyYoGH9A,모로코여행 ,메르주가 ,여행유튜버
1593,여행가Jay [Jay world traveler], 8.58,🇲🇦#149 관광객에게 바가지 씌우기 현실🤯 | 모로코에서 흥정하는 법 [여행가Jay], 57455,2020. 7. 7, 955, 19,361,https://www.youtube.com/watch?v=da8pD1uvjWU,모로코여행 ,마라케시 ,여행유튜버
1594,여행가Jay [Jay world traveler], 8.58,🇲🇦#148 모로코 첫날부터 역대급 눈칫밥;;;😳 | 직접 겪은 모로코의 첫인상 [여행가Jay], 72927,2020. 7. 4, 1126, 29,414,https://www.youtube.com/watch?v=7kshttCIJiY,모로코여행 ,카사블랑카 ,여행유튜버
1595,여행가Jay [Jay world traveler], 8.58,🇲🇦#147 같은 대륙간 이동이지만 극한의 40시간 대이동 | 모로코 입국 [여행가Jay], 80253,2020. 6. 30, 1131, 17,470,https://www.youtube.com/watch?v=mlKsZEl1lRE,모로코입국 ,여행유튜버 ,여행가jay
1596,여행가Jay [Jay world traveler], 8.58,🇰🇷 한적한 섬마을에서 생활해보기 (with 쏘이 곽튜브 이나랜드) in 거제도, 31356,2020. 6. 26, 724, 16,222,https://www.youtube.com/watch?v=LQpgSjPbL34,곽튜브 ,쏘이 ,이나랜드
1597,여행가Jay [Jay world traveler], 8.58,🇲🇬#146 아프리카 동물원은 원래 이래....?😬 | 마다가스카르 마지막편 [여행가Jay], 30243,2020. 6. 20, 880, 13,211,https://www.youtube.com/watch?v=bPLqL8bjois,마다가스카르여행 ,여행유튜버 ,안다시베
1598,여행가Jay [Jay world traveler], 8.58,🇲🇬#145 레게머리 했더니 현지인들 구경거리 돼버림😶 [여행가Jay], 32397,2020. 6. 17, 815, 14,298,https://www.youtube.com/watch?v=O4aoiqWbKpg,마다가스카르여행 ,여행유튜버 ,여행가jay
1599,여행가Jay [Jay world traveler], 8.58,[라이브] 구독자 8만기념  영상 100만뷰 기념 / 여행가jay, 13739,실시간 스트리밍 시작일: 2020. 6. 14, 532, 5,91,https://www.youtube.com/watch?v=K2Ikbv-eLsw,,,
1600,여행가Jay [Jay world traveler], 8.58,🇲🇬#144 여행 중 가장 고통스러웠던 비포장 도로 9시간 달리기.. 칭기 가는 길 [여행가Jay], 34056,2020. 6. 14, 846, 17,265,https://www.youtube.com/watch?v=IusudenuK2U,마다가스카르여행 ,여행유튜버 ,여행가jay
1601,여행가Jay [Jay world traveler], 8.58,🇲🇬#143 신이 실수로 거꾸로 심었다는 '바오밥나무'를 실제로 보았다 [여행가Jay], 30935,2020. 6. 10, 963, 12,266,https://www.youtube.com/watch?v=hhpEuJJuSpw,마다가스카르여행 ,여행유튜버 ,여행가jay
1602,여행가Jay [Jay world traveler], 8.58,🇲🇬#142 가난한 세계여행자라서 겪는 아프리카에서의 고생고생 생고생 (부제:바오밥나무 보러가는 길) [여행가Jay], 28769,2020. 6. 5, 843, 11,213,https://www.youtube.com/watch?v=0B_sT-rzlug,마다가스카르여행 ,여행유튜버 ,여행가jay
1603,여행가Jay [Jay world traveler], 8.58,🇲🇬#141 아프리카에서 야간 이동이 얼마나 위험하냐면☠ [여행가Jay], 37006,2020. 6. 2, 846, 14,324,https://www.youtube.com/watch?v=GOBCueYQdP4,마다가스카르여행 ,여행유튜버 ,여행가jay
1604,여행가Jay [Jay world traveler], 8.58,🇲🇬#140 아프리카여행 중 렌트한 차가 망가졌는데도 행복했던 이유🥳 | 마다가스카르 [여행가Jay], 39048,2020. 5. 28, 887, 21,290,https://www.youtube.com/watch?v=1YAcRlEUcKc,마다가스카르여행 ,여행유튜버 ,여행가jay
1605,여행자메이 [Traveler May], 8.38,여자 혼자 올레길 안전하냐고?! 솔직히 말하면...　　｜국내 제주도 캠핑 여행, 33482,2020. 7. 29, 1040, 27,250,https://www.youtube.com/watch?v=yIBq39Cidxk,제주도,,
1606,여행자메이 [Traveler May], 8.38,48시간 제주도 호캉스 초밀착 브이로그! 인생 모아니면 도..　　　　　　　｜제주도 호텔 추천, 55945,2020. 7. 1, 952, 58,168,https://www.youtube.com/watch?v=ibK2cKSg0rA,제주도,,
