,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
920,조두팔, 38.2,X나 예뻐져서 돌아온 조두팔, 798431,2020. 7. 15, 17508, 1059,3233,https://www.youtube.com/watch?v=uBSQsoxwrRI,메이크업 ,성형후 ,조두팔
921,조두팔, 38.2,두팔아. 혁민오빠가 화장해줄게, 259342,2020. 7. 10, 4332, 188,656,https://www.youtube.com/watch?v=sY2kAxOoAp8,혁민몬 ,조두팔 ,메이크업
922,조두팔, 38.2,전신지방흡입 하고왔습니다., 729459,2020. 7. 5, 10933, 1988,2130,https://www.youtube.com/watch?v=JpeQCr3L7xs,지방흡입 ,조두팔 ,전신지방흡입
923,조두팔, 38.2,치킨떡볶이, 411606,2020. 7. 3, 8189, 238,1078,https://www.youtube.com/watch?v=FSM-YxPxbuA,레게노치킨 ,맛있네 ,진짜
924,조두팔, 38.2,과자집 만들다가 현타온 조두팔, 370066,2020. 7. 1, 8738, 260,1189,https://www.youtube.com/watch?v=VSsEUivf4lc,광고 ,썸썸 ,디즈니
925,조두팔, 38.2,너 뭐라고했냐?, 507369,2020. 6. 24, 9872, 340,881,https://www.youtube.com/watch?v=nZ7ytQT0-9A,당연하지 ,게임 ,조두팔
926,조두팔, 38.2,모든 성형을 다 끝낸 후 화장하는 조두팔, 800647,2020. 6. 19, 12467, 1105,1863,https://www.youtube.com/watch?v=pQUzy6LqxnI,조두팔 ,화장 ,하기
927,조두팔, 38.2,술찌 두명이 술먹기, 398914,2020. 6. 15, 6634, 215,322,https://www.youtube.com/watch?v=CbjizT7NMa4,조두팔 ,술 ,방송
928,조두팔, 38.2,눈썹 염색했어요 ㅎㅎ, 565485,2020. 6. 11, 10779, 424,1853,https://www.youtube.com/watch?v=wZijWJDRhu8,눈썹 ,염색 ,탈색
929,조두팔, 38.2,붙임머리 한 조두팔, 908376,2020. 6. 7, 14982, 593,2760,https://www.youtube.com/watch?v=5Xqquh2DX3s,붙임머리 ,붙임머리잘하는곳 ,아이쁘다
930,조두팔, 38.2,드디어 공개합니다., 1074224,2020. 6. 4, 18912, 1272,4866,https://www.youtube.com/watch?v=toq2AHZiivc,안면윤곽 ,수술 ,김기웅원장님
931,조두팔, 38.2,조두팔 안면윤곽 후..., 748410,2020. 6. 1, 12645, 987,1954,https://www.youtube.com/watch?v=tZldOdmb1gs,조두팔 ,안면윤곽 ,일상
932,조두팔, 38.2,턱 깎는 성형 하고왔어요, 1071417,2020. 5. 27, 23042, 7873,6973,https://www.youtube.com/watch?v=T2rpylmfd2c,안면윤곽 ,성형 ,조두팔
933,조두팔, 38.2,허벅지 지방흡입 궁금한거 다답해드림, 804892,2020. 5. 24, 10728, 445,1318,https://www.youtube.com/watch?v=mxSL7wQzBuw,지방흡입 ,큐앤에이 ,궁금한거
934,조두팔, 38.2,허벅지 지방흡입 성형 2달차, 868227,2020. 5. 22, 21084, 718,4676,https://www.youtube.com/watch?v=eOhgkCBZfQ8,지방흡입 ,허벅지 ,러브핸들
935,조두팔, 38.2,혁민오빠 자리비웠을때 콜라에 간장 타기, 618644,2020. 5. 20, 10483, 278,1430,https://www.youtube.com/watch?v=u_X96o7Xe6c,치킨 ,치킨매니아 ,레게노치킨
936,조두팔, 38.2,핑크공주로 변신한 조두팔, 798318,2020. 5. 19, 14012, 536,2982,https://www.youtube.com/watch?v=HRopgIyB2B8,조두팔 ,염색 ,핑크
793,Minjeong Park, 32.7,(eng) Instagram Baddie Makeup 🦋 Minjeong Park, 24975,2020. 8. 8, 812, 19,114,https://www.youtube.com/watch?v=kM8BSG9_to4,인스타메이크업 ,인스타그램메이크업 ,스트릿메이크업
794,Minjeong Park, 32.7,민정이네 심야식당 #3 불고기 통밀 펜네 파스타 🍝 결정장애 오는 밸런스 게임 Late Night Restaurant : Penne Pasta | Minjeong Park, 28124,2020. 8. 1, 571, 10,97,https://www.youtube.com/watch?v=VT9alHtee2w,심야식당 ,야식 ,통밀파스타
795,Minjeong Park, 32.7,잠옷 몽땅 소개 / 집순이 만렙 12가지 잠옷들 🛏🌙 Loungewear Try-On Haul | Minjeong Park, 36729,2020. 7. 25, 906, 22,100,https://www.youtube.com/watch?v=VxdVEkNC6-k,잠옷 ,잠옷하울 ,잠옷소개
796,Minjeong Park, 32.7,(eng cc) 휴가 땐 이렇게 입고 싶다! 🏖 최애 쇼핑몰에서 산 여름옷들 2020 Summer Fashion Haul | Minjeong Park, 64642,2020. 7. 18, 1393, 19,167,https://www.youtube.com/watch?v=QkL6eGk6omA,여름옷하울 ,패션하울 ,데일리룩
797,Minjeong Park, 32.7,(eng) 시원하게 로맨틱 힙 롱원피스 스타일링 💙 반말 겟레디! 겨울 쿨 메이크업 GRWM: cool romantic and hip long dress styling!, 56954,2020. 7. 11, 1373, 24,140,https://www.youtube.com/watch?v=Q6nVlfMtgkQ,겟레디윗미 ,같이준비해요 ,겟레디
798,Minjeong Park, 32.7,생일주간 브이로그 🎂 / 6월 여름 데일리룩 달걀 장조림 만들기 샤넬 귀걸이 언박싱, 74777,2020. 7. 4, 1459, 40,266,https://www.youtube.com/watch?v=iWRKVtMU5y0,일상 ,브이로그 ,생일브이로그
799,Minjeong Park, 32.7,(sub soon) 내 인생 내가 챙기자 🙋🏻‍♀️ 삶의 질 높여주는 제품들 / 구강청결 진동클렌저 영양제 책 | Minjeong Park, 59832,2020. 6. 14, 1593, 17,139,https://www.youtube.com/watch?v=bpATZm2iAzE,인생템 ,삶의질아이템 ,삶의질상승
800,Minjeong Park, 32.7,(eng) 요청폭주 보라보라 ☂️ 퍼플 메이크업 / 롬앤 말린 라벤더 사용법 Purple Makeup | Minjeong Park, 77924,2020. 6. 6, 1993, 31,162,https://www.youtube.com/watch?v=MrJixWll_vA,쿨톤메이크업 ,보라메이크업 ,쿨톤팔레트
801,Minjeong Park, 32.7,운동에 미쳐버린 요즘 일상 / 관리의 신을 꿈꾸며 workout vlog | Minjeong Park, 90898,2020. 5. 31, 1585, 34,235,https://www.youtube.com/watch?v=gvBgxeah-7w,운동브이로그 ,브이로그 ,일상
802,Minjeong Park, 32.7,(eng) 여름맞이 신상 미니원피스 크롭탑 같이 코디해보자 / 미리보는 여름옷 하울 🏖 Let’s put together summer outfits | Minjeong Park, 126249,2020. 5. 23, 2604, 40,187,https://www.youtube.com/watch?v=gjrVI-cFZ6E,여름옷하울 ,패션하울 ,데일리룩
803,Minjeong Park, 32.7,(eng) 반말로 준비하는 나이키 레드립 메이크업 ❤️ 나이키 스타일링 Casual chit chat GRWM Nike Red Lip Makeup | Minjeong Park, 109989,2020. 5. 16, 2515, 35,244,https://www.youtube.com/watch?v=qZUEipRoII0,레드립메이크업 ,나이키메이크업 ,모자메이크업
804,Minjeong Park, 32.7,봄 일주일 데일리룩 / Spring Outfits of the Week | Minjeong Park, 102363,2020. 5. 9, 2074, 37,164,https://www.youtube.com/watch?v=9THPFLqU86g,데일리룩 ,봄코디 ,봄옷하울
805,Minjeong Park, 32.7,(eng) 새 화장품들로 같이 준비해요! 뉴트로 빈티지룩 화사한 봄코디 🌻 Get Ready With Me (feat.에뛰드 로제와인) | Minjeong Park, 83254,2020. 5. 2, 1581, 19,131,https://www.youtube.com/watch?v=34UsLI11BaI,봄메이크업 ,뉴트로 ,봄코디
806,Minjeong Park, 32.7,집순민정 다이어리 Ep.13 즐거운 나의 집 At home vlog | Minjeong Park, 107678,2020. 4. 25, 1816, 38,307,https://www.youtube.com/watch?v=TPeFE5StfQ0,집순민정다이어리 ,집순이일상 ,브이로그
807,Minjeong Park, 32.7,(eng) 운동복 입어보기 🏋🏻‍♀️ 헬스 필라테스복 소개 / 젝시믹스 뮬라웨어 콘치웨어 Activewear that I wear often, 84404,2020. 4. 18, 1514, 20,115,https://www.youtube.com/watch?v=JlQs78B7RzU,운동복 ,운동복하울 ,필라테스복
808,Minjeong Park, 32.7,(eng cc) 봄맞이 구매한 12가지 화사한 것들 (트렌치코트 자켓 셔츠 가방 액세서리) 20대 추천 봄 코디 Spring Fashion Haul & Outfit Tips, 141395,2020. 4. 11, 3064, 41,255,https://www.youtube.com/watch?v=2jtrXgdrQBI,봄패션하울 ,패션하울 ,봄옷코디
809,Minjeong Park, 32.7,(eng) 에뛰드 플라워티라떼로 쿨톤 메이크업 💜 분위기 넘치는 벚꽃 메이크업 / 올로드샵 Instagram Makeup | Minjeong Park, 82518,2020. 4. 4, 2247, 36,177,https://www.youtube.com/watch?v=8aGzEojiMZg,쿨톤메이크업 ,플라워티라떼 ,쿨톤팔레트
810,Minjeong Park, 32.7,(eng) 역대급 분량 일주일 브이로그 / 집순이와 밖순이 그 어디쯤 / 배달음식 오지게 먹는 일상 My longest vlog ever: a week in my life, 158296,2020. 3. 28, 2358, 56,283,https://www.youtube.com/watch?v=_2I7vHM8NhI,일상 ,브이로그 ,일상브이로그
811,Minjeong Park, 32.7,(eng) 촬영 가는 날 같이 준비해요! 오랜만에 화려하게✨ 화면빨 잘 받는 메이크업 GRWM Camera-ready look | Minjeong Park, 92248,2020. 3. 21, 1602, 46,156,https://www.youtube.com/watch?v=EbIVIkDIVXU,같이준비해요 ,겟레디윗미 ,겟레디
812,Minjeong Park, 32.7,글로우베리 민정마켓 공지 ☁️ 수부지 모여라! 진정 시카 앰플 데일리 수분크림 | Minjeong Park, 18782,2020. 3. 20, 348, 12,48,https://www.youtube.com/watch?v=jRoo6YuHeAw,글로우베리 ,시카앰플 ,수분크림
873,Minsco 민스코, 32.2,NEW&HOT 팔레트 모음 리뷰! 데이지크/힌스/에스쁘아/릴리바이레드 | 민스코 Minsco, 40692,17시간 전 최초 공개, 2103, 9,260,https://www.youtube.com/watch?v=n3YJGivoSJs,,,
874,Minsco 민스코, 32.2,✨떠먹팁#17: 자연스러운 오버립 바르는 법 (얼굴여백축소?) (베이스립추천/레어카인드틴트/롬앤립스틱) | 민스코 Minsco, 59417,최초 공개: 2020. 8. 8, 2484, 13,1554,https://www.youtube.com/watch?v=FdaeDakZeQg,,,
