,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
111,VIVO TV - 비보티비, 40,녹음 5분 전 🕓 │ 💜 BTS 찐팬 재질 김숙 아미로 밝혀져 파문, 86432,2020. 7. 15, 4049, 27,195,https://www.youtube.com/watch?v=uCBTmD5q6yk,송은이김숙의비밀보장 ,팟캐스트 ,녹음5분전
112,VIVO TV - 비보티비, 40,더블V(송은이 김숙) - 7도 (feat. 선우정아) M/V (Many Voazo) ※추억팔이 주의, 52155,2020. 7. 14, 4912, 6,484,https://www.youtube.com/watch?v=4XBGARaNiSA,더블브이 ,DOUBLE_V ,sunwoojunga
113,VIVO TV - 비보티비, 40,100만원 재난지원금 먹튀한 아버지 응징(?)하는 법 | 비공개 밥블레스유 EP.17, 69121,2020. 7. 10, 1753, 12,145,https://www.youtube.com/watch?v=qGyYPsKmpcA,비공개 ,밥블레스유2 ,라미란
114,VIVO TV - 비보티비, 40,신봉(선) & (안)영미의 ❛선안 영향력❜ 독서 클럽 멤버 모집📚, 37555,2020. 7. 9, 2474, 3,200,https://www.youtube.com/watch?v=oAfArKBKN_s,VIVOTV유튜브 ,라이브 ,0716_PM8
115,VIVO TV - 비보티비, 40,아이유 목소리에 김숙 얼굴 VS 김숙 목소리에 아이유 얼굴, 58071,2020. 7. 9, 1848, 8,86,https://www.youtube.com/watch?v=aXQmB_A5XDA,팟캐스트 ,송은이김숙의비밀보장 ,밸런스게임
116,VIVO TV - 비보티비, 40,녹음 5분 전 🕓 │ 김숙티비 썸네일 담당자 혼쭐낼 준비 중인 송은이 & 김숙, 137686,2020. 7. 8, 3817, 19,228,https://www.youtube.com/watch?v=tftryKT7T4M,송은이김숙의비밀보장 ,팟캐스트 ,녹음5분전
117,VIVO TV - 비보티비, 40,더블V(송은이 김숙) - 7도 (feat. 선우정아), 99758,2020. 7. 7, 7972, 21,758,https://www.youtube.com/watch?v=Q7y9EoUhdUc,더블브이 ,DOUBLE_V ,7DO
118,VIVO TV - 비보티비, 40,봉봉송 탄생 비화🍏🍉🍑 (과즙 치사량 한도 초과), 47007,2020. 7. 6, 2467, 8,199,https://www.youtube.com/watch?v=938m3bIWXes,봉봉곤약젤리 ,신봉선 ,봉봉송
119,VIVO TV - 비보티비, 40,장도연 썸남에게 던진 찐친 박나래의 팩폭! | 비공개 밥블레스유 EP.16, 53860,2020. 7. 4, 1282, 13,34,https://www.youtube.com/watch?v=aBh35ngZ7rY,박나래 ,장도연 ,밥블레스유2
120,VIVO TV - 비보티비, 40,★안영미 미디어랩 시소 소속 기념 특집 기자회견★, 178554,2020. 7. 3, 7274, 54,520,https://www.youtube.com/watch?v=7cSJWYJKVvI,미디어랩시소 ,셀럽파이브 ,특집인터뷰
121,마끼아또, 39.7,마끼아또 눈물 흘린 방송..., 17944,2020. 7. 25, 756, 4,189,https://www.youtube.com/watch?v=a1KdaEVG2Js,,,
122,마끼아또, 39.7,"팥빙수 ""식초로"" 연금술 하는방법", 21156,2020. 7. 16, 879, 12,325,https://www.youtube.com/watch?v=mXqFcT_1QRA,,,
123,마끼아또, 39.7,유튜버들 사이에 인기있는 과자음식 요리가 있다....?, 33637,2020. 7. 9, 1249, 22,468,https://www.youtube.com/watch?v=nZl-8lz60b0,,,
124,마끼아또, 39.7,2년만에 유튜브 스트리밍을 켜봤다, 24389,실시간 스트리밍 시작일: 2020. 7. 7, 1005, 19,107,https://www.youtube.com/watch?v=0vIMsukspJo,,,
125,마끼아또, 39.7,탈모에 흑채를 뿌리면 정말 티가안날까...?, 34057,2020. 7. 4, 919, 12,186,https://www.youtube.com/watch?v=wbsPP4bAD4Q,,,
