,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
197,Fitology, 9.14,건강한 사람과 몸짱의 최소유지 체지방량은? +체지방의 역할, 48220,최초 공개: 2020. 7. 7, 874, 14,154,https://www.youtube.com/watch?v=Pn9h0ifhQdo,체지방감량 ,근손실 ,성기능악화
198,Fitology, 9.14,우수의 린매스업 총정리, 47482,최초 공개: 2020. 7. 6, 1149, 15,285,https://www.youtube.com/watch?v=gTofe6nrSwA,,,
199,Fitology, 9.14,다이어트약도 스포츠영양사가 리뷰하면 다르다!스템마맥스, 14221,최초 공개: 2020. 6. 30, 441, 8,244,https://www.youtube.com/watch?v=iqLGUafxmas,다이어트약 ,스템마맥스 ,돌외잎
200,Fitology, 9.14,유명한 BCAA 제품들 모아서 살지 말지 총정리 해드림, 24448,2020. 6. 25, 475, 9,159,https://www.youtube.com/watch?v=Ml1tUJl2Ly8,번잇 ,익스텐드 ,뉴트리코스트
201,Fitology, 9.14,BCAA가 근손실 유발? 알고 먹자 BCAA, 27092,2020. 6. 24, 626, 18,137,https://www.youtube.com/watch?v=EJuLFq9YVqE,BCAA ,근손실 ,말도안돼
202,Fitology, 9.14,피톨로지 일상 건강 요리 첫번째 시간! 닭가슴살 굽기, 6000,2020. 6. 23, 212, 2,58,https://www.youtube.com/watch?v=XUwaG-7embk,,,
203,Fitology, 9.14,[피트니스x성의학] 비아그라는 안 주시고 달리기를 하라니요??!!! #3, 5775,2020. 6. 18, 171, 없음,60,https://www.youtube.com/watch?v=0VzM4oYvlCo,,,
1405,이슈텔러 issueTeller, 85.2,한의학은 코로나19 예방에 어떤 도움이 될 수 있을까?, 11823,2020. 8. 6, 839, 28,216,https://www.youtube.com/watch?v=cYRI3GG6xLU,,,
1406,이슈텔러 issueTeller, 85.2,아이스크림은 유통기한이 없다는데... 정말 안 상할까??, 94539,2020. 8. 1, 2293, 27,421,https://www.youtube.com/watch?v=w-2wxFo2tUI,,,
1407,이슈텔러 issueTeller, 85.2,외국인들이 너무 부러워하는 한국인의 신체적 특징 3가지, 433759,2020. 7. 25, 7324, 163,2033,https://www.youtube.com/watch?v=SL_mRiEL_jI,,,
1408,이슈텔러 issueTeller, 85.2,대부분 사람들이 잘 모르는 음식에 대한 충격적인 사실 10가지, 327710,2020. 7. 21, 6452, 99,1256,https://www.youtube.com/watch?v=yT7KMJ6lQ8o,,,
1409,이슈텔러 issueTeller, 85.2,이래서.. 집에 개미가 살면 바퀴벌레를 볼 수 없다고 하는구나..ㄷㄷ, 149957,2020. 7. 18, 3139, 49,1149,https://www.youtube.com/watch?v=MO_uALYiSNM,,,
1410,이슈텔러 issueTeller, 85.2,정말 상상도 못한 1위.. 편의점에서 지난 1년 동안 가장 많이 팔린 제품 TOP10, 293808,2020. 7. 14, 3705, 79,982,https://www.youtube.com/watch?v=AAMWbxXbpxY,,,
1411,이슈텔러 issueTeller, 85.2,우리나라 안전한거 맞음?? 얼마전 발표된 전 세계 191개 국가 중 '가장 위험한 나라' 순위!!, 227556,2020. 7. 11, 5297, 88,1430,https://www.youtube.com/watch?v=cdhGD5aM3t4,,,
1412,이슈텔러 issueTeller, 85.2,"""아침 공복에 먹으면"" 독이 되는 나쁜 음식 5가지 vs 보약보다 좋은 음식 5가지", 295380,2020. 7. 7, 5545, 87,969,https://www.youtube.com/watch?v=Y_vs2J-t-Kg,,,
1413,이슈텔러 issueTeller, 85.2,만약 멸종되지 않았다면 지구를 지배했을 무시무시한 거대 동물 TOP10, 310939,2020. 7. 4, 4847, 117,1561,https://www.youtube.com/watch?v=rcjNWWB-Ye0,,,
1414,이슈텔러 issueTeller, 85.2,보고도 믿기 힘든 분야 별 현존하는 세계에서 가장 큰 것 15가지!!!, 184725,2020. 7. 1, 3241, 55,734,https://www.youtube.com/watch?v=pCRGNrnyeQ4,,,
1415,이슈텔러 issueTeller, 85.2,올 여름 이렇게 생긴 모기를 보면 절대로 죽이면 안됩니다!!!!, 1023043,2020. 6. 27, 14523, 261,4935,https://www.youtube.com/watch?v=rurnGXXanzQ,,,
1416,이슈텔러 issueTeller, 85.2,페이스북이 비싸게 인수한 회사들.. 갑자기 창업자들이 자기 회사 포기하고 욕하며 퇴사한 충격적인 이유!!, 147788,2020. 6. 24, 2228, 42,599,https://www.youtube.com/watch?v=BnYWwMhxHwM,,,
1417,이슈텔러 issueTeller, 85.2,인간의 잔인함의 끝을 보여준 미친 과학자들의 충격적인 실험 TOP7, 657118,2020. 6. 20, 9207, 320,2170,https://www.youtube.com/watch?v=dnX_ih8Ie5o,,,
1418,이슈텔러 issueTeller, 85.2,스마트폰 디카가 발명된 후 필름 회사들은 지금 뭐해먹고 살까..??, 38390,2020. 6. 17, 1028, 13,165,https://www.youtube.com/watch?v=X3odjr67s60,,,
1419,이슈텔러 issueTeller, 85.2,요즘 대유행 난리인 MBTI 성격유형 검사!! 전문가들이 말하는 MBTI의 충격적인 실체!!, 114341,2020. 6. 13, 2535, 36,673,https://www.youtube.com/watch?v=ydD4sW-HoP0,,,
1420,이슈텔러 issueTeller, 85.2,배달알바생 설문조사 결과 최악의 진상 손님 TOP5 vs 진상 알바 TOP5, 606293,2020. 6. 10, 6409, 138,2237,https://www.youtube.com/watch?v=1uhLmYcbCcM,,,
1421,이슈텔러 issueTeller, 85.2,지금은 최고의 발명품이지만 처음 만들어진 이유가 충격적인 물건 TOP3, 364834,2020. 6. 6, 6102, 112,818,https://www.youtube.com/watch?v=GeEVgtT_-MY,,,
1422,이슈텔러 issueTeller, 85.2,한국 사람 대부분이 온라인 비밀번호 만들 때 하는 실수!!!!, 96777,2020. 6. 2, 2666, 30,880,https://www.youtube.com/watch?v=SvkMeKllIcE,,,
1423,이슈텔러 issueTeller, 85.2,꼭 알아두세요!! 마트에서 당신에게 돈을 많이 쓰게하려고 몰래 쓰고있는 7가지 수법!!, 880067,2020. 5. 30, 12484, 283,2672,https://www.youtube.com/watch?v=AVIQb6fTTT4,,,
1424,이슈텔러 issueTeller, 85.2,싸이코패스 과학자 제임스가 사람을 죽이는 대신 하는 일..!!, 143713,2020. 5. 26, 3841, 52,652,https://www.youtube.com/watch?v=1bJ82rCKLho,,,
312,리모콘 by iHQ, 71.9,[웹드 맛집] 통 메모리즈 //악몽선생 //더 미라클//시키면 한다! 약간 더 위험한 방송 방송 중!,현재 12명 시청 중,스트리밍 시작: 99분 전,,,,https://www.youtube.com/watch?v=_Y6pig38dEY,,,
313,리모콘 by iHQ, 71.9,가정 경제 불화의 주범을 찾아라! [가정경제전담반 수사본부] 10회 예고, 265,2020. 8. 6, 4, 5,1,https://www.youtube.com/watch?v=xfYcyc1EQUY,,,
314,리모콘 by iHQ, 71.9,'오케이 마담' 엄정화의 부활 코믹도 액션도 OK, 344,2020. 8. 5, 5, 없음,1,https://www.youtube.com/watch?v=GOf9H_VA8vM,오케이마담 ,엄정화 ,코믹액션
315,리모콘 by iHQ, 71.9,가성비 높이는 특약설계는? [가정경제전담반 수사본부]9회, 25,2020. 8. 4, 없음, 없음,0,https://www.youtube.com/watch?v=rnHJdm9Nvro,가정경제전담반 ,수사본부 ,KSTAR
316,리모콘 by iHQ, 71.9,연금보험의 추가납입 활용[가정경제전담반 수사본부]9회, 218,2020. 8. 4, 6, 1,0,https://www.youtube.com/watch?v=K1_o-1Z6dh8,가정경제전담반 ,수사본부 ,KSTAR
317,리모콘 by iHQ, 71.9,연금으로 준비한 종신보험의 실체 [가정경제전담반 수사본부]9회, 248,2020. 8. 4, 3, 2,0,https://www.youtube.com/watch?v=HgGLnkFOIao,가정경제전담반 ,수사본부 ,KSTAR
318,리모콘 by iHQ, 71.9,보험료의 90%가 종신보험?! [가정경제전담반 수사본부]9회, 155,2020. 8. 4, 4, 없음,0,https://www.youtube.com/watch?v=5wmQdQNqylY,가정경제전담반 ,수사본부 ,KSTAR
319,리모콘 by iHQ, 71.9,가성비 최악의 사건?! [가정경제전담반 수사본부] 9회 예고, 419,2020. 7. 30, 6, 1,0,https://www.youtube.com/watch?v=fdbeKtPoGoI,,,
320,리모콘 by iHQ, 71.9,"'다만악'황정민 언택트로 만난 ""브라더""", 511,2020. 7. 29, 15, 없음,0,https://www.youtube.com/watch?v=CeSktZDeIYY,다만악에서구하소서 ,다만악 ,황정민
321,리모콘 by iHQ, 71.9,보험명 앞의 단어를 확인하라! [가정경제전담반 수사본부]8회, 180,2020. 7. 28, 2, 없음,2,https://www.youtube.com/watch?v=BWCaBhKENoA,가정경제전담반 ,수사본부 ,KSTAR
322,리모콘 by iHQ, 71.9,월 보험료 970000원 절감[가정경제전담반 수사본부]8회, 258,2020. 7. 28, 9, 1,0,https://www.youtube.com/watch?v=H5FgN65bDMU,가정경제전담반 ,수사본부 ,KSTAR
323,리모콘 by iHQ, 71.9,자녀 보험료 절감·노후 자금 마련 [가정경제전담반 수사본부]8회, 185,2020. 7. 28, 6, 1,0,https://www.youtube.com/watch?v=2HrrRdQPRVw,가정경제전담반 ,수사본부 ,KSTAR
324,리모콘 by iHQ, 71.9,태아보험의 선택 기준은? [가정경제전담반 수사본부]8회, 101,2020. 7. 28, 없음, 없음,0,https://www.youtube.com/watch?v=BAUo6SNr8kk,가정경제전담반 ,수사본부 ,KSTAR
325,리모콘 by iHQ, 71.9,'강철비2' 유연석이 센터에 서게 된 이유는?, 563,2020. 7. 28, 16, 1,0,https://www.youtube.com/watch?v=-wM0jf3GM_4,강철비2정상회담 ,유연석 ,정우성
326,리모콘 by iHQ, 71.9,'강철비2' 정우성 영화 본 뒤 눈시울 붉히며 울컥한 이유는?, 828,2020. 7. 24, 10, 4,4,https://www.youtube.com/watch?v=PLEMLmHD48o,강철비2정상회담 ,0729개봉작 ,양우석감독
327,리모콘 by iHQ, 71.9,저축없이 노후대비 주의보! [가정경제전담반 수사본부] 8회 예고, 427,2020. 7. 24, 5, 2,0,https://www.youtube.com/watch?v=7Ib9FbFFRp0,,,
328,리모콘 by iHQ, 71.9,노후 간병비·연금 마련 골든 타임 [가정경제전담반 수사본부]7회, 260,2020. 7. 21, 2, 없음,0,https://www.youtube.com/watch?v=sIhayKpdvKQ,가정경제전담반 ,수사본부 ,KSTAR
329,리모콘 by iHQ, 71.9,LTC종신보험을 주위하라! [가정경제전담반 수사본부]7회, 122,2020. 7. 21, 없음, 없음,0,https://www.youtube.com/watch?v=GXs4Vb5kGAs,가정경제전담반 ,수사본부 ,KSTAR
330,리모콘 by iHQ, 71.9,4인 가족 월 보험료가 200만원?! [가정경제전담반 수사본부]7회, 334,2020. 7. 21, 7, 없음,0,https://www.youtube.com/watch?v=NXV5Z0yKXpo,가정경제전담반 ,수사본부 ,KSTAR
331,리모콘 by iHQ, 71.9,치매 보장 안 되는 치매보험? [가정경제전담반 수사본부]7회, 196,2020. 7. 21, 2, 없음,0,https://www.youtube.com/watch?v=3o85OU_7ar0,가정경제전담반 ,수사본부 ,KSTAR
443,이슈왕 TV, 64.5,먹방 크리에이터 쯔양 유튜브 은퇴 선언한 이유 [이슈왕], 256074,2020. 8. 6, 4998, 160,2165,https://www.youtube.com/watch?v=5I4cSToLITc,,,
